Name,,Match Played,Run,Bat Avg,Wickets,Bowl Avg
A Badoni,,14,235,29.38,0,0
A D Russell,,15,222,31.71,19,15.53
A J Turner,,2,21,10.5,0,0
A K Markram,,11,220,24.44,0,0
A M Rahane,,13,242,20.17,0,0
A Madhwal,,5,4,0,5,41
A Manohar,,2,9,4.5,0,0
A Mishra,,1,0,0,1,20
A Nortje,,6,4,2,7,42
A Porel,,14,327,32.7,0,0
A R Patel,,14,235,29.38,11,30.64
A S Joseph,,3,0,0,1,115
A S Roy,,4,3,0,0,0
A S Tendulkar,,1,0,0,0,0
A Taide,,2,61,30.5,0,0
Abdul Samad,,16,182,18.2,0,0
Abhishek Sharma,,16,484,32.27,2,25.5
Akash Deep,,1,2,0,1,55
Angkrish Raghuvanshi,,10,163,23.29,0,0
Anmolpreet Singh,,2,5,2.5,0,0
Anshul Kamboj,,3,2,0,2,57
Anuj Rawat,,5,98,24.5,0,0
Arshdeep Singh,,14,4,4,19,26.58
Arshin Kulkarni,,2,9,4.5,0,0
Ashutosh Sharma,,11,189,27,0,0
Avesh Khan,,16,10,0,19,27.68
Azmatullah Omarzai,,7,42,10.5,4,46.5
B Kumar,,16,23,7.67,11,48.45
BR Sharath,,1,2,2,0,0
C Green,,13,255,31.88,10,30.3
C V Varun,,15,0,0,21,19.14
D A Miller,,9,210,35,0,0
D A Warner,,8,168,21,0,0
D Brevis,,3,69,23,0,0
D C Jurel,,15,195,24.38,0,0
D Ferreira,,2,8,4,0,0
D G Nalkande,,3,12,12,3,15
D J Hooda,,11,145,18.13,0,0
D J Mitchell,,13,318,28.91,1,70
D L Chahar,,8,0,0,5,40.4
D Padikkal,,7,38,5.43,0,0
F du Plessis,,15,438,29.2,0,0
G Coetzee,,10,14,3.5,13,26.23
G J Maxwell,,10,52,5.78,6,21.5
Gulbadin Naib,,2,19,19,0,0
H H Pandya,,14,216,18,11,35.18
H Klaasen,,16,479,39.92,0,0
H P Rana,,13,0,0,19,20.16
H Sharma,,1,0,0,0,0
H V Patel,,14,13,4.33,24,19.88
Harpreet Brar,,13,75,37.5,7,43.29
Harpreet Singh,,2,27,13.5,0,0
I D N Thushara,,7,0,0,8,32.13
I Sharma,,9,1,0,10,26.5
Ishan Kishan,,14,320,22.86,0,0
J A Richardson,,1,2,2,0,0
J B Little,,1,0,0,4,11.25
J C Buttler,,11,359,39.89,0,0
J D Unadkat,,11,24,8,8,39.88
J Fraser-McGurk,,9,330,36.67,0,0
J J Bumrah,,13,12,0,20,16.8
J M Bairstow,,11,298,29.8,0,0
J M Sharma,,14,187,17,0,0
K A Maharaj,,2,1,1,2,19.5
K D Karthik,,15,326,36.22,0,0
K Gowtham,,1,0,0,0,0
K H Pandya,,14,133,33.25,6,42.5
K K Ahmed,,14,0,0,17,28.18
K L Rahul,,14,520,37.14,0,0
K R Sen,,3,0,0,6,20.33
K Rabada,,11,20,20,11,33.82
K S Williamson,,2,27,13.5,0,0
K T Maphaka,,2,0,0,1,89
K V Sharma,,9,31,10.33,7,36.29
Kartik Tyagi,,1,0,0,0,0
Kuldeep Yadav,,11,47,15.67,16,23.25
Kumar Kushagra,,4,3,1,0,0
L B Williams,,2,1,0,1,72
L H Ferguson,,7,1,1,9,28.33
L S Livingstone,,7,111,22.2,3,28
L Wood,,2,9,0,1,93
Lalit Yadav,,2,10,5,0,0
M A Agarwal,,4,64,16,0,0
M A Khan,,4,83,41.5,1,114
M A Starc,,14,9,4.5,17,26.12
M J Dagar,,5,0,0,1,120
M J Henry,,4,0,0,1,110
M J Santner,,3,14,4.67,2,32
M Jansen,,3,18,18,1,129
M K Lomror,,10,125,15.63,0,0
M K Pandey,,1,42,42,0,0
M Kumar,,10,3,3,17,21.65
M M Ali,,8,128,25.6,2,35.5
M M Sharma,,12,2,1,13,32.69
M M Theekshana,,5,0,0,2,72
M Markande,,7,0,0,8,32.38
M P Stoinis,,14,388,32.33,4,31.5
M P Yadav,,4,0,0,7,12.14
M Pathirana,,6,0,0,13,13
M R Marsh,,4,61,15.25,1,103
M S Wade,,2,4,4,0,0
M Siddharth,,3,0,0,1,71
Manav Suthar,,1,1,1,0,0
Mohammad Nabi,,7,35,8.75,2,54.5
Mohammed Siraj,,14,12,6,15,33.07
Mohsin Khan,,10,2,2,10,38.5
Mukesh Choudhary,,1,0,0,0,0
Mustafizur Rahman,,9,0,0,14,22.71
N,,14,161,53.67,0,0
N Burger,,6,0,0,7,20.71
